feature,descriptor,group,importance,dataset,model
quantile3__log_likelihood,log_likelihood,point_based,0.6513993271153817,Taxi,Logistic Regression
quantile3__local_outlier_factor_score,local_outlier_factor_score,point_based,0.8954787453748689,Taxi,Logistic Regression
quantile3__knn_distance_k,knn_distance_k,point_based,0.8433413888000711,Taxi,Logistic Regression
quantile3__out_of_range_count,out_of_range_count,point_based,4.252556587352094,Taxi,Logistic Regression
quantile3__mean_norm,mean_norm,marginal_statistical,0.27244336561150473,Taxi,Logistic Regression
quantile3__std_norm,std_norm,marginal_statistical,0.056636780575609266,Taxi,Logistic Regression
quantile3__skew_norm,skew_norm,marginal_statistical,0.011871226631584422,Taxi,Logistic Regression
quantile3__kurtosis_norm,kurtosis_norm,marginal_statistical,0.0453148874406258,Taxi,Logistic Regression
quantile3__median_abs_deviation_norm,median_abs_deviation_norm,marginal_statistical,0.14280961845776546,Taxi,Logistic Regression
quantile3__iqr_norm,iqr_norm,marginal_statistical,0.16311083086657266,Taxi,Logistic Regression
quantile3__trimmed_mean_norm,trimmed_mean_norm,marginal_statistical,0.24393704143123981,Taxi,Logistic Regression
quantile3__cell_entropy,cell_entropy,marginal_informational,0.021331596160553204,Taxi,Logistic Regression
quantile3__marginal_entropy_mean,marginal_entropy_mean,marginal_informational,0.021331596160553204,Taxi,Logistic Regression
quantile3__marginal_entropy_std,marginal_entropy_std,marginal_informational,0.014697812760988626,Taxi,Logistic Regression
quantile3__marginal_kl_to_reference_mean,marginal_kl_to_reference_mean,marginal_informational,0.25373566476541065,Taxi,Logistic Regression
quantile3__quantile_surprisal_mean,quantile_surprisal_mean,marginal_informational,0.12420103111628085,Taxi,Logistic Regression
quantile3__mahalanobis,mahalanobis,interaction_statistical,0.47182659522267234,Taxi,Logistic Regression
quantile3__covariance_trace,covariance_trace,interaction_statistical,0.05182029822574383,Taxi,Logistic Regression
quantile3__covariance_logdet,covariance_logdet,interaction_statistical,0.11563828530476214,Taxi,Logistic Regression
quantile3__mean_abs_correlation,mean_abs_correlation,interaction_statistical,0.08531621773651756,Taxi,Logistic Regression
quantile3__pairwise_spearman_corr_mean_abs,pairwise_spearman_corr_mean_abs,interaction_statistical,0.04678112249075314,Taxi,Logistic Regression
quantile3__covariance_condition_number,covariance_condition_number,interaction_statistical,0.1820433489182069,Taxi,Logistic Regression
quantile3__pairwise_mutual_info_mean,pairwise_mutual_info_mean,interaction_informational,0.01727102225304851,Taxi,Logistic Regression
quantile3__pairwise_mutual_info_max,pairwise_mutual_info_max,interaction_informational,0.35398650911580354,Taxi,Logistic Regression
quantile3__total_correlation,total_correlation,interaction_informational,0.1318027031248799,Taxi,Logistic Regression
quantile3__joint_entropy_pairwise_mean,joint_entropy_pairwise_mean,interaction_informational,0.1264454265944378,Taxi,Logistic Regression
quantile3__pairwise_js_divergence_mean,pairwise_js_divergence_mean,interaction_informational,0.04623074178146864,Taxi,Logistic Regression
quantile3__log_count,log_count,base,0.10577940716905623,Taxi,Logistic Regression
quantile3__density,density,base,0.10634059233150088,Taxi,Logistic Regression
quantile3__n_beyond_2std,n_beyond_2std,base,0.132898336367102,Taxi,Logistic Regression
quantile3__partition_agreement_count,partition_agreement_count,base,0.02779143375863557,Taxi,Logistic Regression
quantile3__leaf_depth,leaf_depth,base,0.0,Taxi,Logistic Regression
quantile4__dist_to_mean,dist_to_mean,point_based,0.41249282398276066,Taxi,Logistic Regression
quantile4__normalized_dist,normalized_dist,point_based,0.37609896790977687,Taxi,Logistic Regression
quantile4__cosine_dist,cosine_dist,point_based,0.25268935629804623,Taxi,Logistic Regression
quantile4__dist_to_median,dist_to_median,point_based,0.40183990420415466,Taxi,Logistic Regression
quantile4__log_likelihood,log_likelihood,point_based,0.5432712428357402,Taxi,Logistic Regression
quantile4__local_outlier_factor_score,local_outlier_factor_score,point_based,0.6234108537140164,Taxi,Logistic Regression
quantile4__knn_distance_k,knn_distance_k,point_based,0.22950468324001153,Taxi,Logistic Regression
quantile4__out_of_range_count,out_of_range_count,point_based,0.38081434395785724,Taxi,Logistic Regression
quantile4__mean_norm,mean_norm,marginal_statistical,0.09647540413634773,Taxi,Logistic Regression
quantile4__std_norm,std_norm,marginal_statistical,0.0812341482938648,Taxi,Logistic Regression
quantile4__skew_norm,skew_norm,marginal_statistical,0.20612718480849898,Taxi,Logistic Regression
quantile4__kurtosis_norm,kurtosis_norm,marginal_statistical,0.20618566097769886,Taxi,Logistic Regression
quantile4__median_abs_deviation_norm,median_abs_deviation_norm,marginal_statistical,0.0028611084682002856,Taxi,Logistic Regression
quantile4__iqr_norm,iqr_norm,marginal_statistical,0.4086134237387048,Taxi,Logistic Regression
quantile4__trimmed_mean_norm,trimmed_mean_norm,marginal_statistical,0.0782819168660823,Taxi,Logistic Regression
quantile4__cell_entropy,cell_entropy,marginal_informational,0.08947333933592491,Taxi,Logistic Regression
quantile4__marginal_entropy_mean,marginal_entropy_mean,marginal_informational,0.08947333933592491,Taxi,Logistic Regression
quantile4__marginal_entropy_std,marginal_entropy_std,marginal_informational,0.20618821654041797,Taxi,Logistic Regression
quantile4__marginal_kl_to_reference_mean,marginal_kl_to_reference_mean,marginal_informational,0.11087679317657476,Taxi,Logistic Regression
quantile4__quantile_surprisal_mean,quantile_surprisal_mean,marginal_informational,0.10968232607830754,Taxi,Logistic Regression
quantile4__mahalanobis,mahalanobis,interaction_statistical,0.13785126538519105,Taxi,Logistic Regression
quantile4__covariance_trace,covariance_trace,interaction_statistical,0.08151179454013013,Taxi,Logistic Regression
quantile4__covariance_logdet,covariance_logdet,interaction_statistical,0.052274141774059764,Taxi,Logistic Regression
quantile4__mean_abs_correlation,mean_abs_correlation,interaction_statistical,0.01836609296064274,Taxi,Logistic Regression
quantile4__pairwise_spearman_corr_mean_abs,pairwise_spearman_corr_mean_abs,interaction_statistical,0.02256398433837327,Taxi,Logistic Regression
quantile4__covariance_condition_number,covariance_condition_number,interaction_statistical,0.28677832772846196,Taxi,Logistic Regression
quantile4__pairwise_mutual_info_mean,pairwise_mutual_info_mean,interaction_informational,0.005264981870686842,Taxi,Logistic Regression
quantile4__pairwise_mutual_info_max,pairwise_mutual_info_max,interaction_informational,0.06341029509046786,Taxi,Logistic Regression
quantile4__total_correlation,total_correlation,interaction_informational,0.16056476524411958,Taxi,Logistic Regression
quantile4__joint_entropy_pairwise_mean,joint_entropy_pairwise_mean,interaction_informational,0.09787534753605226,Taxi,Logistic Regression
quantile4__pairwise_js_divergence_mean,pairwise_js_divergence_mean,interaction_informational,0.025525201972204953,Taxi,Logistic Regression
quantile4__log_count,log_count,base,2.115974542885081e-12,Taxi,Logistic Regression
quantile4__density,density,base,4.0138414244310085e-14,Taxi,Logistic Regression
quantile4__n_beyond_2std,n_beyond_2std,base,0.32219785159292347,Taxi,Logistic Regression
quantile4__partition_agreement_count,partition_agreement_count,base,0.02779143375863557,Taxi,Logistic Regression
quantile4__leaf_depth,leaf_depth,base,0.0,Taxi,Logistic Regression
quantile5__dist_to_mean,dist_to_mean,point_based,0.07538608141510318,Taxi,Logistic Regression
quantile5__normalized_dist,normalized_dist,point_based,0.012167995629122302,Taxi,Logistic Regression
quantile5__cosine_dist,cosine_dist,point_based,0.12678527610006707,Taxi,Logistic Regression
quantile5__dist_to_median,dist_to_median,point_based,0.5308050955608486,Taxi,Logistic Regression
quantile5__log_likelihood,log_likelihood,point_based,0.05504605372992652,Taxi,Logistic Regression
quantile5__local_outlier_factor_score,local_outlier_factor_score,point_based,0.9666438356626835,Taxi,Logistic Regression
quantile5__knn_distance_k,knn_distance_k,point_based,0.4121698081378086,Taxi,Logistic Regression
quantile5__out_of_range_count,out_of_range_count,point_based,0.451687268075497,Taxi,Logistic Regression
quantile5__mean_norm,mean_norm,marginal_statistical,0.18219646925939795,Taxi,Logistic Regression
quantile5__std_norm,std_norm,marginal_statistical,0.023724838551984304,Taxi,Logistic Regression
quantile5__skew_norm,skew_norm,marginal_statistical,0.008288135800560153,Taxi,Logistic Regression
quantile5__kurtosis_norm,kurtosis_norm,marginal_statistical,0.04728083244022796,Taxi,Logistic Regression
quantile5__median_abs_deviation_norm,median_abs_deviation_norm,marginal_statistical,0.07496589833508494,Taxi,Logistic Regression
quantile5__iqr_norm,iqr_norm,marginal_statistical,0.014041544080165601,Taxi,Logistic Regression
quantile5__trimmed_mean_norm,trimmed_mean_norm,marginal_statistical,0.18355771740078822,Taxi,Logistic Regression
quantile5__cell_entropy,cell_entropy,marginal_informational,0.006456459248097867,Taxi,Logistic Regression
quantile5__marginal_entropy_mean,marginal_entropy_mean,marginal_informational,0.006456459248097867,Taxi,Logistic Regression
quantile5__marginal_entropy_std,marginal_entropy_std,marginal_informational,0.03322386021472459,Taxi,Logistic Regression
quantile5__marginal_kl_to_reference_mean,marginal_kl_to_reference_mean,marginal_informational,0.23369838165629464,Taxi,Logistic Regression
quantile5__quantile_surprisal_mean,quantile_surprisal_mean,marginal_informational,0.1376919641321678,Taxi,Logistic Regression
quantile5__mahalanobis,mahalanobis,interaction_statistical,0.1306137943725133,Taxi,Logistic Regression
quantile5__covariance_trace,covariance_trace,interaction_statistical,0.020492701451255247,Taxi,Logistic Regression
quantile5__covariance_logdet,covariance_logdet,interaction_statistical,0.10463605674139138,Taxi,Logistic Regression
quantile5__mean_abs_correlation,mean_abs_correlation,interaction_statistical,0.037310390636925615,Taxi,Logistic Regression
quantile5__pairwise_spearman_corr_mean_abs,pairwise_spearman_corr_mean_abs,interaction_statistical,0.0016262022061343706,Taxi,Logistic Regression
quantile5__covariance_condition_number,covariance_condition_number,interaction_statistical,0.13116682262362106,Taxi,Logistic Regression
quantile5__pairwise_mutual_info_mean,pairwise_mutual_info_mean,interaction_informational,0.08361604914490745,Taxi,Logistic Regression
quantile5__pairwise_mutual_info_max,pairwise_mutual_info_max,interaction_informational,0.0065765800630144524,Taxi,Logistic Regression
quantile5__total_correlation,total_correlation,interaction_informational,0.12995358702082252,Taxi,Logistic Regression
quantile5__joint_entropy_pairwise_mean,joint_entropy_pairwise_mean,interaction_informational,0.12802337990748672,Taxi,Logistic Regression
quantile5__pairwise_js_divergence_mean,pairwise_js_divergence_mean,interaction_informational,0.1106206019715484,Taxi,Logistic Regression
quantile5__log_count,log_count,base,2.115974542885081e-12,Taxi,Logistic Regression
quantile5__density,density,base,4.0138414244310085e-14,Taxi,Logistic Regression
quantile5__n_beyond_2std,n_beyond_2std,base,0.06357890617730624,Taxi,Logistic Regression
quantile5__partition_agreement_count,partition_agreement_count,base,0.02779143375863557,Taxi,Logistic Regression
quantile5__leaf_depth,leaf_depth,base,0.0,Taxi,Logistic Regression
kmeans6__dist_to_mean,dist_to_mean,point_based,0.5421356872238527,Taxi,Logistic Regression
kmeans6__normalized_dist,normalized_dist,point_based,0.44407713457816445,Taxi,Logistic Regression
kmeans6__cosine_dist,cosine_dist,point_based,0.2684907251100139,Taxi,Logistic Regression
kmeans6__dist_to_median,dist_to_median,point_based,0.07072119322373567,Taxi,Logistic Regression
kmeans6__log_likelihood,log_likelihood,point_based,0.4013749552768458,Taxi,Logistic Regression
kmeans6__local_outlier_factor_score,local_outlier_factor_score,point_based,0.18223481208229989,Taxi,Logistic Regression
kmeans6__knn_distance_k,knn_distance_k,point_based,0.06980706700134004,Taxi,Logistic Regression
kmeans6__out_of_range_count,out_of_range_count,point_based,1.252898789717286,Taxi,Logistic Regression
kmeans6__mean_norm,mean_norm,marginal_statistical,0.15019748874207767,Taxi,Logistic Regression
kmeans6__std_norm,std_norm,marginal_statistical,0.07650215096377476,Taxi,Logistic Regression
kmeans6__skew_norm,skew_norm,marginal_statistical,0.06795210966836476,Taxi,Logistic Regression
kmeans6__kurtosis_norm,kurtosis_norm,marginal_statistical,0.2293198092612347,Taxi,Logistic Regression
kmeans6__median_abs_deviation_norm,median_abs_deviation_norm,marginal_statistical,0.13465284997106391,Taxi,Logistic Regression
kmeans6__iqr_norm,iqr_norm,marginal_statistical,0.013107044118477186,Taxi,Logistic Regression
kmeans6__trimmed_mean_norm,trimmed_mean_norm,marginal_statistical,0.13815333961693133,Taxi,Logistic Regression
kmeans6__cell_entropy,cell_entropy,marginal_informational,0.11203631603589223,Taxi,Logistic Regression
kmeans6__marginal_entropy_mean,marginal_entropy_mean,marginal_informational,0.11203631603589223,Taxi,Logistic Regression
kmeans6__marginal_entropy_std,marginal_entropy_std,marginal_informational,0.25046648401279326,Taxi,Logistic Regression
kmeans6__marginal_kl_to_reference_mean,marginal_kl_to_reference_mean,marginal_informational,0.21335261762237148,Taxi,Logistic Regression
kmeans6__quantile_surprisal_mean,quantile_surprisal_mean,marginal_informational,0.17533342688760162,Taxi,Logistic Regression
kmeans6__mahalanobis,mahalanobis,interaction_statistical,0.6709879564288775,Taxi,Logistic Regression
kmeans6__covariance_trace,covariance_trace,interaction_statistical,0.08593386211002878,Taxi,Logistic Regression
kmeans6__covariance_logdet,covariance_logdet,interaction_statistical,0.055126337110162765,Taxi,Logistic Regression
kmeans6__mean_abs_correlation,mean_abs_correlation,interaction_statistical,0.06900464950228119,Taxi,Logistic Regression
kmeans6__pairwise_spearman_corr_mean_abs,pairwise_spearman_corr_mean_abs,interaction_statistical,0.10023462568618847,Taxi,Logistic Regression
kmeans6__covariance_condition_number,covariance_condition_number,interaction_statistical,0.07060431228113918,Taxi,Logistic Regression
kmeans6__pairwise_mutual_info_mean,pairwise_mutual_info_mean,interaction_informational,0.07313052260251593,Taxi,Logistic Regression
