dataset,representation,model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,classifier_spread
Electricity,raw,Logistic Regression,0.8030799999999999,0.008789027249929316,0.7691399999999999,0.011353105302074906,0.73638,0.010423147317389341,0.021700000000000053
Electricity,raw,MLP,0.9776399999999998,0.0010714476188782914,0.97402,0.0013026895255585486,0.92364,0.004182463388961113,0.0025999999999999357
Electricity,raw,Random Forest,0.9839800000000001,0.0011903780911961916,0.9812799999999999,0.0017977764043395892,0.9359400000000001,0.002944146735473618,0.0025999999999999357
Income,meta,Logistic Regression,0.9173600000000001,0.0012876334882255954,0.8228,0.0042195971371684635,0.76568,0.0011924764148610904,0.0030999999999999917
Income,meta,MLP,0.90356,0.0012837445228705041,0.7958000000000001,0.003947784188630367,0.74388,0.003723842101915737,0.0030000000000000027
Income,meta,Random Forest,0.9131199999999999,0.0022038602496528233,0.8018599999999999,0.009282941344207658,0.76216,0.00567917247492976,0.0047999999999999154
Income,meta_raw,Logistic Regression,0.9196199999999999,0.0006180614856145021,0.82652,0.003051556979641687,0.76848,0.002366854452643818,0.0017000000000000348
Income,meta_raw,MLP,0.9024800000000001,0.001958826179118547,0.79318,0.008442274575018236,0.7409399999999999,0.002707951255100452,0.0050000000000000044
Income,meta_raw,Random Forest,0.9141,0.0023832750575625873,0.8039400000000001,0.007864985696109057,0.76482,0.001538505768594955,0.005900000000000016
Income,raw,Logistic Regression,0.8703,0.0033429029300893758,0.76086,0.005720839099293043,0.6563,0.007209368904418697,0.008300000000000085
Income,raw,MLP,0.9034599999999999,0.002809448344426367,0.789,0.011593963946813017,0.73622,0.012973896870254496,0.007399999999999962
Income,raw,Random Forest,0.9144,0.0023906066175764244,0.7975,0.00667382948538546,0.76246,0.005893046750196383,0.00550000000000006
MVx6,meta,Logistic Regression,0.78468,0.004421198932416399,0.84824,0.0024541801074901537,0.68572,0.003953100049328376,0.011099999999999999
MVx6,meta,MLP,0.77508,0.0045240468609421035,0.8337199999999999,0.002414953415699775,0.6877800000000001,0.004261103143553328,0.009099999999999997
MVx6,meta,Random Forest,0.78804,0.004738459665334319,0.84952,0.003065452658254553,0.70774,0.004785707889121522,0.010700000000000043
MVx6,meta_raw,Logistic Regression,0.78464,0.004412822226194929,0.8482200000000001,0.0024529573987332634,0.68566,0.00334858178935503,0.011099999999999999
MVx6,meta_raw,MLP,0.77516,0.005381728346916093,0.83328,0.004111812252523158,0.6849000000000001,0.003325657829663173,0.0131
MVx6,meta_raw,Random Forest,0.78808,0.004687963310436578,0.8494399999999999,0.0029644561052577386,0.70784,0.004873704956190903,0.009499999999999953
MVx6,raw,Logistic Regression,0.8054600000000001,0.004259460059678949,0.86112,0.0028873863614002366,0.7301,0.004057708713054697,0.010800000000000032
MVx6,raw,MLP,0.7836000000000001,0.002876629972728516,0.84738,0.002022869249358448,0.70122,0.0032244379355167658,0.006900000000000017
MVx6,raw,Random Forest,0.79292,0.004060418697622216,0.85192,0.00272433478118971,0.72658,0.003907300858649104,0.00990000000000002
Taxi,meta,Logistic Regression,0.99802,0.0012676750372236749,0.99696,0.0019882152800942006,0.9919399999999999,0.0032090497035726926,0.0032000000000000917
Taxi,meta,MLP,0.9975400000000001,0.0011371015785759813,0.9966000000000002,0.0018439088914585628,0.9785,0.012326394444443207,0.0027000000000000357
Taxi,meta,Random Forest,0.9957,0.0011979148550710862,0.9953200000000001,0.0014788509052639364,0.9784599999999999,0.003972782400283193,0.0031999999999999806
Taxi,meta_raw,Logistic Regression,0.998,0.0013000000000000383,0.99694,0.0019806564568344773,0.9919800000000001,0.003157055590261256,0.0033000000000000806
Taxi,meta_raw,MLP,0.99726,0.0012778888840583845,0.99634,0.0019743353311937233,0.98316,0.0049267636436102925,0.0031999999999999806
Taxi,meta_raw,Random Forest,0.9977199999999999,0.0007854934754662401,0.99748,0.0009497368056467181,0.98528,0.0033655608745051845,0.002100000000000102
Taxi,raw,Logistic Regression,0.49432,0.007679322886817558,0.5062599999999999,0.009367923996275842,0.50256,0.012164826344835325,0.016600000000000004
Taxi,raw,MLP,0.91548,0.03631207788050698,0.9249600000000001,0.03194593870901279,0.8302400000000001,0.04442165012693698,0.08720000000000006
Taxi,raw,Random Forest,0.9999399999999999,5.477225575052536e-05,0.9999399999999999,5.477225575052536e-05,0.99698,0.001366382084191676,9.999999999998899e-05
