dataset,group,model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,classifier_spread
Income,marginal_informational,Logistic Regression,0.9081400000000001,0.003539491488900636,0.8025399999999999,0.009843932141172065,0.75146,0.0059466797458750074,0.007900000000000018
Income,marginal_informational,MLP,0.9008,0.0045188494110779956,0.788,0.01265167973037573,0.7323999999999999,0.007302739212103893,0.01100000000000001
Income,marginal_informational,Random Forest,0.9037200000000001,0.00413182768275734,0.77186,0.013760922934163963,0.75374,0.00460521443583248,0.01079999999999992
Income,marginal_statistical,Logistic Regression,0.9174599999999999,0.00442865668120711,0.82276,0.012515310623392454,0.76488,0.002294994553370472,0.011500000000000066
Income,marginal_statistical,MLP,0.8987,0.0038993589216690613,0.78094,0.013007420958821939,0.73438,0.0018376615575236058,0.008900000000000019
Income,marginal_statistical,Random Forest,0.9040800000000001,0.0037545971821222306,0.77292,0.012731535649716378,0.7538400000000001,0.004359243053558752,0.009299999999999975
Income,point_based,Logistic Regression,0.8931000000000001,0.0019326148090087712,0.78406,0.005723460491695528,0.7278800000000001,0.006819604094080478,0.0040000000000000036
Income,point_based,MLP,0.88734,0.00311656862590895,0.7663599999999999,0.004206304791619383,0.7195400000000001,0.005482061655983032,0.008199999999999985
Income,point_based,Random Forest,0.8937200000000001,0.0023700210969525033,0.7743599999999999,0.008295661516720674,0.72966,0.004742678568066772,0.006399999999999961
MVx6,all,Logistic Regression,0.78468,0.004421198932416399,0.84824,0.0024541801074901537,0.68572,0.003953100049328376,0.011099999999999999
MVx6,all,MLP,0.77508,0.0045240468609421035,0.8337199999999999,0.002414953415699775,0.6877800000000001,0.004261103143553328,0.009099999999999997
MVx6,all,Random Forest,0.78804,0.004738459665334319,0.84952,0.003065452658254553,0.70774,0.004785707889121522,0.010700000000000043
MVx6,base,Logistic Regression,0.79362,0.004327470392735231,0.8537399999999999,0.004133158598457095,0.72926,0.0053477097901812294,0.011500000000000066
MVx6,base,MLP,0.78262,0.0029600675667963918,0.84436,0.003913821661752138,0.70094,0.004069152245861542,0.007399999999999962
MVx6,base,Random Forest,0.7862,0.002937686164313673,0.8453200000000001,0.002594609797252743,0.70634,0.0051708800024754,0.006900000000000017
MVx6,interaction_informational,Logistic Regression,0.79782,0.0053457459722662075,0.8557,0.003607630801509502,0.72986,0.0037533984600625625,0.01100000000000001
MVx6,interaction_informational,MLP,0.78264,0.006785499244712983,0.8445,0.004432268042436055,0.70134,0.007797627844415258,0.01529999999999998
MVx6,interaction_informational,Random Forest,0.7907,0.004213074886588195,0.8507200000000001,0.0028726294574831657,0.71828,0.004366005038934337,0.010600000000000054
MVx6,interaction_statistical,Logistic Regression,0.79782,0.0041451176099116865,0.8569800000000001,0.002609022805572979,0.72994,0.0037091778064687365,0.009299999999999975
MVx6,interaction_statistical,MLP,0.7869200000000001,0.0027698375403622513,0.8467399999999999,0.002927968579066379,0.7039,0.00652648450545933,0.00759999999999994
MVx6,interaction_statistical,Random Forest,0.79398,0.0045218359103355015,0.8526999999999999,0.0019039432764660126,0.7278,0.003914715826212657,0.011799999999999922
MVx6,marginal_informational,Logistic Regression,0.79908,0.004753630191758688,0.8570399999999999,0.0031197756329582296,0.73002,0.004000874904317782,0.009899999999999909
MVx6,marginal_informational,MLP,0.7795799999999999,0.0014720733677368268,0.84124,0.0022897598127314747,0.69722,0.0012357184145265542,0.0038000000000000256
MVx6,marginal_informational,Random Forest,0.7881600000000001,0.0039475308738501505,0.8492799999999999,0.002482337607981671,0.71748,0.0029944949490690333,0.00990000000000002
