fold,model,roc_auc,pr_auc,accuracy,precision,recall,f1,dataset,group,group_label,n_meta_features,seed
4,Logistic Regression,0.9856,0.9812,0.9496,0.9207,0.984,0.9513,California,interaction_statistical,Interaction statistical,6,42
4,Random Forest,0.9891,0.9857,0.9503,0.9337,0.9695,0.9513,California,interaction_statistical,Interaction statistical,6,42
4,MLP,0.9844,0.9812,0.9336,0.9448,0.921,0.9328,California,interaction_statistical,Interaction statistical,6,42
5,Logistic Regression,0.9782,0.9564,0.9464,0.913,0.9869,0.9485,California,interaction_statistical,Interaction statistical,6,42
5,Random Forest,0.9899,0.9869,0.9537,0.929,0.9825,0.955,California,interaction_statistical,Interaction statistical,6,42
5,MLP,0.9811,0.9723,0.9389,0.9343,0.9443,0.9392,California,interaction_statistical,Interaction statistical,6,42
1,Logistic Regression,0.987,0.9796,0.9571,0.9517,0.9632,0.9574,California,interaction_informational,Interaction informational,5,42
1,Random Forest,0.9881,0.9812,0.9607,0.9577,0.9641,0.9609,California,interaction_informational,Interaction informational,5,42
1,MLP,0.9794,0.9689,0.9479,0.9473,0.9486,0.948,California,interaction_informational,Interaction informational,5,42
2,Logistic Regression,0.9705,0.955,0.9528,0.9215,0.9898,0.9544,California,interaction_informational,Interaction informational,5,42
2,Random Forest,0.9704,0.9523,0.9503,0.9227,0.983,0.9519,California,interaction_informational,Interaction informational,5,42
2,MLP,0.9639,0.9416,0.9251,0.9266,0.9234,0.925,California,interaction_informational,Interaction informational,5,42
3,Logistic Regression,0.9558,0.9301,0.9355,0.8922,0.9908,0.9389,California,interaction_informational,Interaction informational,5,42
3,Random Forest,0.9545,0.9278,0.9355,0.896,0.9855,0.9386,California,interaction_informational,Interaction informational,5,42
3,MLP,0.95,0.9179,0.9188,0.8957,0.9482,0.9212,California,interaction_informational,Interaction informational,5,42
4,Logistic Regression,0.9666,0.9516,0.9435,0.9056,0.9903,0.9461,California,interaction_informational,Interaction informational,5,42
4,Random Forest,0.9652,0.9438,0.9416,0.9078,0.983,0.9439,California,interaction_informational,Interaction informational,5,42
4,MLP,0.9598,0.9325,0.9198,0.907,0.9356,0.9211,California,interaction_informational,Interaction informational,5,42
5,Logistic Regression,0.9643,0.9412,0.9469,0.9094,0.9927,0.9492,California,interaction_informational,Interaction informational,5,42
5,Random Forest,0.9656,0.9442,0.9462,0.9115,0.9884,0.9484,California,interaction_informational,Interaction informational,5,42
5,MLP,0.9592,0.9388,0.9217,0.9085,0.938,0.923,California,interaction_informational,Interaction informational,5,42
1,Logistic Regression,0.992,0.9905,0.9549,0.9554,0.9545,0.9549,California,base,Base,5,42
1,Random Forest,0.9919,0.9884,0.961,0.9644,0.9574,0.9609,California,base,Base,5,42
1,MLP,0.9888,0.9882,0.9518,0.9542,0.9491,0.9517,California,base,Base,5,42
2,Logistic Regression,0.984,0.981,0.9397,0.9188,0.9646,0.9411,California,base,Base,5,42
2,Random Forest,0.988,0.9835,0.96,0.9502,0.9709,0.9605,California,base,Base,5,42
2,MLP,0.9829,0.9771,0.9433,0.9408,0.9462,0.9435,California,base,Base,5,42
3,Logistic Regression,0.962,0.9409,0.9225,0.8939,0.9588,0.9252,California,base,Base,5,42
3,Random Forest,0.9786,0.9662,0.9457,0.9348,0.9583,0.9464,California,base,Base,5,42
3,MLP,0.9733,0.9612,0.9288,0.9239,0.9346,0.9292,California,base,Base,5,42
4,Logistic Regression,0.9807,0.9666,0.9426,0.9251,0.9632,0.9437,California,base,Base,5,42
4,Random Forest,0.9853,0.9805,0.9491,0.9393,0.9603,0.9497,California,base,Base,5,42
4,MLP,0.9821,0.9742,0.9428,0.9377,0.9486,0.9432,California,base,Base,5,42
5,Logistic Regression,0.9841,0.977,0.9484,0.9212,0.9806,0.95,California,base,Base,5,42
5,Random Forest,0.9869,0.9815,0.9542,0.9366,0.9743,0.9551,California,base,Base,5,42
5,MLP,0.9793,0.9665,0.9397,0.9356,0.9443,0.9399,California,base,Base,5,42
1,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,all,all,36,42
1,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,all,all,36,42
1,MLP,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,all,all,36,42
2,Logistic Regression,1.0,1.0,0.9998,0.9987,1.0,0.9994,ACS Accidents,all,all,36,42
2,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,all,all,36,42
2,MLP,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,all,all,36,42
3,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,all,all,36,42
3,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,all,all,36,42
3,MLP,0.9987,0.9989,0.9998,1.0,0.9987,0.9994,ACS Accidents,all,all,36,42
4,Logistic Regression,1.0,1.0,0.9998,0.9987,1.0,0.9994,ACS Accidents,all,all,36,42
4,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,all,all,36,42
4,MLP,0.9962,0.9968,0.9994,1.0,0.9962,0.9981,ACS Accidents,all,all,36,42
5,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,all,all,36,42
5,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,all,all,36,42
5,MLP,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,all,all,36,42
1,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,point_based,Point-based,8,42
1,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,point_based,Point-based,8,42
1,MLP,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,point_based,Point-based,8,42
2,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,point_based,Point-based,8,42
2,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,point_based,Point-based,8,42
2,MLP,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,point_based,Point-based,8,42
3,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,point_based,Point-based,8,42
3,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,point_based,Point-based,8,42
3,MLP,0.9987,0.9989,0.9998,1.0,0.9987,0.9994,ACS Accidents,point_based,Point-based,8,42
4,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,point_based,Point-based,8,42
4,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,point_based,Point-based,8,42
4,MLP,0.9962,0.9968,0.9994,1.0,0.9962,0.9981,ACS Accidents,point_based,Point-based,8,42
5,Logistic Regression,0.9987,0.9989,0.9996,0.9987,0.9987,0.9987,ACS Accidents,point_based,Point-based,8,42
5,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,point_based,Point-based,8,42
5,MLP,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,point_based,Point-based,8,42
1,Logistic Regression,0.9683,0.8625,0.9049,0.6258,0.8963,0.737,ACS Accidents,marginal_statistical,Marginal statistical,7,42
1,Random Forest,0.9756,0.903,0.944,0.8336,0.7788,0.8052,ACS Accidents,marginal_statistical,Marginal statistical,7,42
1,MLP,0.9772,0.9144,0.9506,0.8259,0.8458,0.8357,ACS Accidents,marginal_statistical,Marginal statistical,7,42
2,Logistic Regression,0.9652,0.8536,0.894,0.5936,0.9102,0.7186,ACS Accidents,marginal_statistical,Marginal statistical,7,42
2,Random Forest,0.9704,0.8746,0.9378,0.7979,0.7788,0.7882,ACS Accidents,marginal_statistical,Marginal statistical,7,42
2,MLP,0.9781,0.9118,0.9434,0.7829,0.8571,0.8183,ACS Accidents,marginal_statistical,Marginal statistical,7,42
3,Logistic Regression,0.9628,0.8489,0.8867,0.5752,0.909,0.7046,ACS Accidents,marginal_statistical,Marginal statistical,7,42
3,Random Forest,0.9674,0.8674,0.9356,0.82,0.7257,0.77,ACS Accidents,marginal_statistical,Marginal statistical,7,42
3,MLP,0.9711,0.8866,0.9371,0.7721,0.818,0.7944,ACS Accidents,marginal_statistical,Marginal statistical,7,42
4,Logistic Regression,0.9631,0.8467,0.8878,0.5775,0.914,0.7078,ACS Accidents,marginal_statistical,Marginal statistical,7,42
4,Random Forest,0.9748,0.892,0.947,0.838,0.7977,0.8174,ACS Accidents,marginal_statistical,Marginal statistical,7,42
4,MLP,0.975,0.9009,0.9446,0.8047,0.8281,0.8162,ACS Accidents,marginal_statistical,Marginal statistical,7,42
5,Logistic Regression,0.956,0.7987,0.8636,0.5236,0.9128,0.6654,ACS Accidents,marginal_statistical,Marginal statistical,7,42
5,Random Forest,0.9703,0.874,0.9404,0.8015,0.7965,0.799,ACS Accidents,marginal_statistical,Marginal statistical,7,42
5,MLP,0.966,0.8688,0.9301,0.7351,0.8281,0.7788,ACS Accidents,marginal_statistical,Marginal statistical,7,42
1,Logistic Regression,0.9568,0.7879,0.8914,0.5905,0.8786,0.7063,ACS Accidents,marginal_informational,Marginal informational,5,42
1,Random Forest,0.9753,0.9035,0.947,0.855,0.775,0.813,ACS Accidents,marginal_informational,Marginal informational,5,42
1,MLP,0.9728,0.894,0.9425,0.8012,0.8154,0.8083,ACS Accidents,marginal_informational,Marginal informational,5,42
2,Logistic Regression,0.9466,0.7896,0.8623,0.5214,0.8938,0.6586,ACS Accidents,marginal_informational,Marginal informational,5,42
2,Random Forest,0.9694,0.8735,0.9384,0.7995,0.7813,0.7903,ACS Accidents,marginal_informational,Marginal informational,5,42
2,MLP,0.9707,0.8966,0.9389,0.7709,0.8382,0.8031,ACS Accidents,marginal_informational,Marginal informational,5,42
3,Logistic Regression,0.927,0.7307,0.8427,0.4834,0.8458,0.6152,ACS Accidents,marginal_informational,Marginal informational,5,42
3,Random Forest,0.9692,0.8706,0.9387,0.8243,0.7472,0.7838,ACS Accidents,marginal_informational,Marginal informational,5,42
3,MLP,0.9569,0.8459,0.926,0.7448,0.7636,0.7541,ACS Accidents,marginal_informational,Marginal informational,5,42
4,Logistic Regression,0.9405,0.7559,0.8534,0.504,0.8736,0.6392,ACS Accidents,marginal_informational,Marginal informational,5,42
4,Random Forest,0.9768,0.8964,0.9472,0.8418,0.7939,0.8172,ACS Accidents,marginal_informational,Marginal informational,5,42
4,MLP,0.9657,0.8701,0.9338,0.7661,0.799,0.7822,ACS Accidents,marginal_informational,Marginal informational,5,42
5,Logistic Regression,0.9465,0.7693,0.8485,0.4948,0.8963,0.6376,ACS Accidents,marginal_informational,Marginal informational,5,42
5,Random Forest,0.9714,0.8791,0.9414,0.799,0.8091,0.804,ACS Accidents,marginal_informational,Marginal informational,5,42
5,MLP,0.962,0.8596,0.9267,0.7276,0.8104,0.7667,ACS Accidents,marginal_informational,Marginal informational,5,42
1,Logistic Regression,0.9882,0.9328,0.956,0.7998,0.9393,0.864,ACS Accidents,interaction_statistical,Interaction statistical,6,42
1,Random Forest,0.9988,0.9934,0.9872,0.9653,0.9482,0.9566,ACS Accidents,interaction_statistical,Interaction statistical,6,42
1,MLP,0.9971,0.9877,0.9865,0.9444,0.9659,0.955,ACS Accidents,interaction_statistical,Interaction statistical,6,42
2,Logistic Regression,0.9939,0.9592,0.9797,0.8921,0.9823,0.935,ACS Accidents,interaction_statistical,Interaction statistical,6,42
2,Random Forest,0.9995,0.9966,0.9932,0.9713,0.9836,0.9774,ACS Accidents,interaction_statistical,Interaction statistical,6,42
2,MLP,0.999,0.9946,0.99,0.9578,0.976,0.9668,ACS Accidents,interaction_statistical,Interaction statistical,6,42
3,Logistic Regression,0.9874,0.9182,0.9677,0.8375,0.9709,0.8993,ACS Accidents,interaction_statistical,Interaction statistical,6,42
3,Random Forest,0.9993,0.9961,0.9902,0.9695,0.9646,0.967,ACS Accidents,interaction_statistical,Interaction statistical,6,42
3,MLP,0.9967,0.9852,0.9868,0.9402,0.9735,0.9565,ACS Accidents,interaction_statistical,Interaction statistical,6,42
4,Logistic Regression,0.9896,0.9406,0.9714,0.8594,0.9659,0.9095,ACS Accidents,interaction_statistical,Interaction statistical,6,42
4,Random Forest,0.9993,0.9961,0.9915,0.977,0.9659,0.9714,ACS Accidents,interaction_statistical,Interaction statistical,6,42
4,MLP,0.9952,0.9823,0.9861,0.9555,0.9507,0.9531,ACS Accidents,interaction_statistical,Interaction statistical,6,42
5,Logistic Regression,0.9921,0.9509,0.9679,0.8399,0.9684,0.8996,ACS Accidents,interaction_statistical,Interaction statistical,6,42
5,Random Forest,0.9993,0.9959,0.9915,0.9686,0.9747,0.9716,ACS Accidents,interaction_statistical,Interaction statistical,6,42
5,MLP,0.998,0.9859,0.9902,0.9613,0.9735,0.9673,ACS Accidents,interaction_statistical,Interaction statistical,6,42
1,Logistic Regression,0.9583,0.8406,0.8884,0.5822,0.8824,0.7015,ACS Accidents,interaction_informational,Interaction informational,5,42
1,Random Forest,0.9751,0.903,0.9483,0.8761,0.7598,0.8138,ACS Accidents,interaction_informational,Interaction informational,5,42
1,MLP,0.9698,0.8906,0.9384,0.7827,0.8104,0.7963,ACS Accidents,interaction_informational,Interaction informational,5,42
2,Logistic Regression,0.9485,0.7951,0.8645,0.5262,0.8875,0.6607,ACS Accidents,interaction_informational,Interaction informational,5,42
2,Random Forest,0.9718,0.8849,0.9412,0.8096,0.7901,0.7997,ACS Accidents,interaction_informational,Interaction informational,5,42
2,MLP,0.9709,0.8903,0.9356,0.766,0.8154,0.79,ACS Accidents,interaction_informational,Interaction informational,5,42
3,Logistic Regression,0.9478,0.7967,0.8595,0.5157,0.8925,0.6537,ACS Accidents,interaction_informational,Interaction informational,5,42
3,Random Forest,0.9672,0.8636,0.9378,0.8258,0.737,0.7789,ACS Accidents,interaction_informational,Interaction informational,5,42
3,MLP,0.9489,0.8079,0.9087,0.6624,0.7863,0.7191,ACS Accidents,interaction_informational,Interaction informational,5,42
4,Logistic Regression,0.9475,0.789,0.8647,0.5264,0.8963,0.6632,ACS Accidents,interaction_informational,Interaction informational,5,42
4,Random Forest,0.9754,0.8906,0.947,0.8353,0.8015,0.8181,ACS Accidents,interaction_informational,Interaction informational,5,42
4,MLP,0.9596,0.8342,0.9216,0.7082,0.804,0.7531,ACS Accidents,interaction_informational,Interaction informational,5,42
5,Logistic Regression,0.9394,0.738,0.8406,0.4809,0.9064,0.6284,ACS Accidents,interaction_informational,Interaction informational,5,42
5,Random Forest,0.9691,0.8667,0.9399,0.8078,0.7813,0.7943,ACS Accidents,interaction_informational,Interaction informational,5,42
5,MLP,0.9608,0.8393,0.9239,0.7159,0.8091,0.7596,ACS Accidents,interaction_informational,Interaction informational,5,42
1,Logistic Regression,0.989,0.9329,0.9542,0.7782,0.9671,0.8625,ACS Accidents,base,Base,5,42
1,Random Forest,0.9979,0.988,0.9835,0.9444,0.9444,0.9444,ACS Accidents,base,Base,5,42
1,MLP,0.9974,0.9869,0.9823,0.9204,0.9646,0.942,ACS Accidents,base,Base,5,42
2,Logistic Regression,0.9896,0.9476,0.9639,0.8196,0.9709,0.8889,ACS Accidents,base,Base,5,42
2,Random Forest,0.9984,0.991,0.9857,0.9661,0.9368,0.9512,ACS Accidents,base,Base,5,42
2,MLP,0.9986,0.9936,0.9889,0.9552,0.9709,0.963,ACS Accidents,base,Base,5,42
3,Logistic Regression,0.9776,0.8848,0.9356,0.7209,0.9241,0.81,ACS Accidents,base,Base,5,42
3,Random Forest,0.9964,0.9806,0.978,0.9298,0.9216,0.9257,ACS Accidents,base,Base,5,42
3,MLP,0.9977,0.9864,0.9838,0.9315,0.9621,0.9465,ACS Accidents,base,Base,5,42
4,Logistic Regression,0.964,0.8397,0.904,0.6205,0.9115,0.7384,ACS Accidents,base,Base,5,42
4,Random Forest,0.9975,0.9867,0.9821,0.9372,0.9431,0.9401,ACS Accidents,base,Base,5,42
4,MLP,0.9972,0.9895,0.9853,0.9507,0.9507,0.9507,ACS Accidents,base,Base,5,42
5,Logistic Regression,0.9875,0.9239,0.9519,0.7699,0.9646,0.8563,ACS Accidents,base,Base,5,42
5,Random Forest,0.9986,0.9916,0.9853,0.9507,0.9507,0.9507,ACS Accidents,base,Base,5,42
5,MLP,0.999,0.9949,0.9887,0.9574,0.9671,0.9623,ACS Accidents,base,Base,5,42
