fold,model,roc_auc,pr_auc,accuracy,precision,recall,f1,dataset,group,group_label,n_meta_features,seed
5,Logistic Regression,0.8355,0.8394,0.7505,0.7577,0.7365,0.747,Taxi,interaction_statistical,Interaction statistical,6,42
5,Random Forest,0.9038,0.9028,0.824,0.8337,0.8095,0.8214,Taxi,interaction_statistical,Interaction statistical,6,42
5,MLP,0.906,0.9131,0.8247,0.8198,0.8325,0.8261,Taxi,interaction_statistical,Interaction statistical,6,42
1,Logistic Regression,0.7297,0.7401,0.665,0.6795,0.6245,0.6509,Taxi,interaction_informational,Interaction informational,5,42
1,Random Forest,0.7536,0.7514,0.6805,0.6945,0.6445,0.6686,Taxi,interaction_informational,Interaction informational,5,42
1,MLP,0.7452,0.7504,0.6803,0.6719,0.7045,0.6878,Taxi,interaction_informational,Interaction informational,5,42
2,Logistic Regression,0.7188,0.7198,0.6562,0.6683,0.6205,0.6435,Taxi,interaction_informational,Interaction informational,5,42
2,Random Forest,0.744,0.7415,0.6827,0.6907,0.662,0.676,Taxi,interaction_informational,Interaction informational,5,42
2,MLP,0.709,0.7134,0.654,0.6563,0.6465,0.6514,Taxi,interaction_informational,Interaction informational,5,42
3,Logistic Regression,0.769,0.7737,0.693,0.6932,0.6925,0.6928,Taxi,interaction_informational,Interaction informational,5,42
3,Random Forest,0.7694,0.767,0.7017,0.6977,0.712,0.7048,Taxi,interaction_informational,Interaction informational,5,42
3,MLP,0.7293,0.7372,0.6677,0.6665,0.6715,0.669,Taxi,interaction_informational,Interaction informational,5,42
4,Logistic Regression,0.7004,0.7095,0.637,0.6509,0.591,0.6195,Taxi,interaction_informational,Interaction informational,5,42
4,Random Forest,0.741,0.7271,0.6745,0.6868,0.6415,0.6634,Taxi,interaction_informational,Interaction informational,5,42
4,MLP,0.7121,0.7055,0.652,0.6442,0.679,0.6611,Taxi,interaction_informational,Interaction informational,5,42
5,Logistic Regression,0.769,0.7636,0.698,0.7086,0.6725,0.6901,Taxi,interaction_informational,Interaction informational,5,42
5,Random Forest,0.7721,0.7669,0.7015,0.7071,0.688,0.6974,Taxi,interaction_informational,Interaction informational,5,42
5,MLP,0.7243,0.7166,0.6663,0.6724,0.6485,0.6602,Taxi,interaction_informational,Interaction informational,5,42
1,Logistic Regression,0.8019,0.8265,0.726,0.7783,0.632,0.6976,Taxi,base,Base,5,42
1,Random Forest,0.8308,0.8429,0.7545,0.7685,0.7285,0.7479,Taxi,base,Base,5,42
1,MLP,0.8328,0.8625,0.749,0.7575,0.7325,0.7448,Taxi,base,Base,5,42
2,Logistic Regression,0.7676,0.781,0.7065,0.7714,0.587,0.6667,Taxi,base,Base,5,42
2,Random Forest,0.8068,0.8146,0.7348,0.7431,0.7175,0.7301,Taxi,base,Base,5,42
2,MLP,0.811,0.8405,0.7328,0.7593,0.6815,0.7183,Taxi,base,Base,5,42
3,Logistic Regression,0.7898,0.804,0.7235,0.8028,0.5925,0.6818,Taxi,base,Base,5,42
3,Random Forest,0.8441,0.8514,0.7662,0.776,0.7485,0.762,Taxi,base,Base,5,42
3,MLP,0.8296,0.861,0.7452,0.7608,0.7155,0.7374,Taxi,base,Base,5,42
4,Logistic Regression,0.8045,0.8181,0.7352,0.7812,0.6535,0.7117,Taxi,base,Base,5,42
4,Random Forest,0.8457,0.8528,0.7728,0.781,0.758,0.7693,Taxi,base,Base,5,42
4,MLP,0.8322,0.8625,0.758,0.7845,0.7115,0.7462,Taxi,base,Base,5,42
5,Logistic Regression,0.8023,0.8168,0.735,0.7986,0.6285,0.7034,Taxi,base,Base,5,42
5,Random Forest,0.8568,0.864,0.7895,0.7994,0.773,0.786,Taxi,base,Base,5,42
5,MLP,0.8473,0.8765,0.7688,0.791,0.7305,0.7596,Taxi,base,Base,5,42
1,Logistic Regression,0.9694,0.9611,0.912,0.8824,0.9511,0.9154,Electricity,all,all,36,42
1,Random Forest,0.9765,0.972,0.9163,0.8847,0.9576,0.9197,Electricity,all,all,36,42
1,MLP,0.9715,0.9634,0.9163,0.8938,0.9451,0.9187,Electricity,all,all,36,42
2,Logistic Regression,0.9696,0.9606,0.9127,0.8787,0.9581,0.9166,Electricity,all,all,36,42
2,Random Forest,0.9747,0.968,0.914,0.8789,0.9606,0.9179,Electricity,all,all,36,42
2,MLP,0.969,0.961,0.9167,0.8957,0.9436,0.919,Electricity,all,all,36,42
3,Logistic Regression,0.9723,0.9644,0.9107,0.8796,0.9521,0.9144,Electricity,all,all,36,42
3,Random Forest,0.9779,0.9742,0.917,0.881,0.9646,0.9209,Electricity,all,all,36,42
3,MLP,0.972,0.966,0.9095,0.8772,0.9526,0.9134,Electricity,all,all,36,42
4,Logistic Regression,0.9715,0.961,0.9145,0.8879,0.9491,0.9175,Electricity,all,all,36,42
4,Random Forest,0.9783,0.9743,0.923,0.89,0.9656,0.9262,Electricity,all,all,36,42
4,MLP,0.9727,0.9636,0.9225,0.906,0.9431,0.9242,Electricity,all,all,36,42
5,Logistic Regression,0.9674,0.9633,0.9062,0.8764,0.9461,0.9099,Electricity,all,all,36,42
5,Random Forest,0.9754,0.9715,0.914,0.8813,0.957,0.9176,Electricity,all,all,36,42
5,MLP,0.968,0.9606,0.9142,0.8864,0.9505,0.9173,Electricity,all,all,36,42
1,Logistic Regression,0.9652,0.9568,0.9093,0.8786,0.9501,0.9129,Electricity,point_based,Point-based,8,42
1,Random Forest,0.9752,0.9703,0.914,0.8793,0.9601,0.9179,Electricity,point_based,Point-based,8,42
1,MLP,0.9632,0.9516,0.9138,0.887,0.9486,0.9168,Electricity,point_based,Point-based,8,42
2,Logistic Regression,0.9655,0.9556,0.9022,0.8711,0.9446,0.9063,Electricity,point_based,Point-based,8,42
2,Random Forest,0.9722,0.9648,0.912,0.8724,0.9656,0.9166,Electricity,point_based,Point-based,8,42
2,MLP,0.9642,0.9535,0.9103,0.8676,0.9685,0.9153,Electricity,point_based,Point-based,8,42
3,Logistic Regression,0.9711,0.9674,0.905,0.8745,0.9461,0.9089,Electricity,point_based,Point-based,8,42
3,Random Forest,0.9766,0.9732,0.9103,0.8719,0.9621,0.9148,Electricity,point_based,Point-based,8,42
3,MLP,0.9717,0.9642,0.9103,0.8743,0.9586,0.9145,Electricity,point_based,Point-based,8,42
4,Logistic Regression,0.968,0.9568,0.911,0.8825,0.9486,0.9143,Electricity,point_based,Point-based,8,42
4,Random Forest,0.9737,0.9658,0.9193,0.8839,0.9656,0.9229,Electricity,point_based,Point-based,8,42
4,MLP,0.9669,0.9533,0.915,0.8802,0.9611,0.9189,Electricity,point_based,Point-based,8,42
5,Logistic Regression,0.9637,0.9563,0.901,0.8714,0.9411,0.9049,Electricity,point_based,Point-based,8,42
5,Random Forest,0.9713,0.9667,0.9127,0.8786,0.958,0.9166,Electricity,point_based,Point-based,8,42
5,MLP,0.9619,0.9531,0.903,0.8571,0.9675,0.909,Electricity,point_based,Point-based,8,42
1,Logistic Regression,0.9367,0.9203,0.8648,0.8448,0.8942,0.8688,Electricity,marginal_statistical,Marginal statistical,7,42
1,Random Forest,0.962,0.9511,0.9035,0.8878,0.9241,0.9056,Electricity,marginal_statistical,Marginal statistical,7,42
1,MLP,0.9627,0.9545,0.9033,0.8945,0.9146,0.9045,Electricity,marginal_statistical,Marginal statistical,7,42
2,Logistic Regression,0.9348,0.9211,0.866,0.8363,0.9106,0.8719,Electricity,marginal_statistical,Marginal statistical,7,42
2,Random Forest,0.9608,0.948,0.8998,0.8719,0.9376,0.9035,Electricity,marginal_statistical,Marginal statistical,7,42
2,MLP,0.9592,0.9507,0.8938,0.8711,0.9246,0.8971,Electricity,marginal_statistical,Marginal statistical,7,42
3,Logistic Regression,0.9432,0.9243,0.8952,0.8408,0.9755,0.9032,Electricity,marginal_statistical,Marginal statistical,7,42
3,Random Forest,0.9576,0.9385,0.9018,0.8878,0.9201,0.9037,Electricity,marginal_statistical,Marginal statistical,7,42
3,MLP,0.9584,0.9475,0.8935,0.8807,0.9106,0.8954,Electricity,marginal_statistical,Marginal statistical,7,42
4,Logistic Regression,0.9415,0.9194,0.878,0.8535,0.9131,0.8823,Electricity,marginal_statistical,Marginal statistical,7,42
4,Random Forest,0.9618,0.9489,0.8992,0.8854,0.9176,0.9012,Electricity,marginal_statistical,Marginal statistical,7,42
4,MLP,0.9565,0.9461,0.8932,0.8874,0.9011,0.8942,Electricity,marginal_statistical,Marginal statistical,7,42
5,Logistic Regression,0.9359,0.92,0.87,0.8437,0.9086,0.8749,Electricity,marginal_statistical,Marginal statistical,7,42
5,Random Forest,0.9581,0.944,0.8965,0.8795,0.9191,0.8989,Electricity,marginal_statistical,Marginal statistical,7,42
5,MLP,0.9584,0.9494,0.8962,0.8873,0.9081,0.8976,Electricity,marginal_statistical,Marginal statistical,7,42
1,Logistic Regression,0.9368,0.9205,0.8675,0.8466,0.8982,0.8716,Electricity,marginal_informational,Marginal informational,5,42
1,Random Forest,0.9618,0.952,0.904,0.889,0.9236,0.906,Electricity,marginal_informational,Marginal informational,5,42
1,MLP,0.9597,0.9515,0.8965,0.8885,0.9071,0.8977,Electricity,marginal_informational,Marginal informational,5,42
2,Logistic Regression,0.9321,0.9188,0.8652,0.8342,0.9121,0.8715,Electricity,marginal_informational,Marginal informational,5,42
2,Random Forest,0.961,0.9476,0.8998,0.8726,0.9366,0.9034,Electricity,marginal_informational,Marginal informational,5,42
2,MLP,0.9606,0.9522,0.8972,0.8641,0.9431,0.9019,Electricity,marginal_informational,Marginal informational,5,42
3,Logistic Regression,0.9426,0.9215,0.8925,0.8368,0.9755,0.9009,Electricity,marginal_informational,Marginal informational,5,42
3,Random Forest,0.9585,0.9408,0.9038,0.8878,0.9246,0.9058,Electricity,marginal_informational,Marginal informational,5,42
3,MLP,0.9638,0.9572,0.894,0.8861,0.9046,0.8953,Electricity,marginal_informational,Marginal informational,5,42
4,Logistic Regression,0.941,0.9209,0.877,0.8539,0.9101,0.8811,Electricity,marginal_informational,Marginal informational,5,42
4,Random Forest,0.9616,0.9491,0.901,0.8857,0.9211,0.9031,Electricity,marginal_informational,Marginal informational,5,42
4,MLP,0.9575,0.9448,0.899,0.8777,0.9276,0.9019,Electricity,marginal_informational,Marginal informational,5,42
5,Logistic Regression,0.9322,0.9134,0.8675,0.8417,0.9056,0.8725,Electricity,marginal_informational,Marginal informational,5,42
5,Random Forest,0.9582,0.9446,0.8955,0.8789,0.9176,0.8978,Electricity,marginal_informational,Marginal informational,5,42
5,MLP,0.9592,0.9518,0.8905,0.8811,0.9031,0.892,Electricity,marginal_informational,Marginal informational,5,42
1,Logistic Regression,0.9545,0.9387,0.8953,0.858,0.9476,0.9006,Electricity,interaction_statistical,Interaction statistical,6,42
1,Random Forest,0.974,0.9687,0.9158,0.8889,0.9506,0.9187,Electricity,interaction_statistical,Interaction statistical,6,42
