descriptor,importance,dataset,model
marginal_entropy_mean,0.13454008877821264,California,Logistic Regression
cell_entropy,0.13454008877821264,California,Logistic Regression
density,0.13253213367669567,California,Logistic Regression
quantile_surprisal_mean,0.12159655488598184,California,Logistic Regression
pairwise_mutual_info_mean,0.11353890825288368,California,Logistic Regression
joint_entropy_pairwise_mean,0.11308236290622363,California,Logistic Regression
log_count,0.11293158660854657,California,Logistic Regression
median_abs_deviation_norm,0.10869397177635794,California,Logistic Regression
pairwise_js_divergence_mean,0.10792030198642702,California,Logistic Regression
skew_norm,0.09399906477321109,California,Logistic Regression
kurtosis_norm,0.07598595115505516,California,Logistic Regression
partition_agreement_count,0.027475699364948272,California,Logistic Regression
leaf_depth,0.0044638237785369185,California,Logistic Regression
pairwise_js_divergence_mean,0.005215117648577178,California,Random Forest
trimmed_mean_norm,0.004508967249408836,California,Random Forest
marginal_kl_to_reference_mean,0.0036033224818997375,California,Random Forest
marginal_entropy_std,0.0030799769848489727,California,Random Forest
mean_norm,0.003012885705726356,California,Random Forest
log_count,0.0030042003998124226,California,Random Forest
kurtosis_norm,0.00293266895858259,California,Random Forest
pairwise_mutual_info_mean,0.0027698603685815453,California,Random Forest
pairwise_mutual_info_max,0.0026957118733385156,California,Random Forest
covariance_logdet,0.0026104755543295516,California,Random Forest
marginal_entropy_mean,0.0025567390412107164,California,Random Forest
dist_to_median,0.0023532132743153016,California,Random Forest
out_of_range_count,0.0021298083074825797,California,Random Forest
skew_norm,0.0021249747981179116,California,Random Forest
local_outlier_factor_score,0.0018900153082218722,California,Random Forest
median_abs_deviation_norm,0.001875033975753799,California,Random Forest
density,0.001749203002445433,California,Random Forest
total_correlation,0.0016705860166670598,California,Random Forest
pairwise_spearman_corr_mean_abs,0.0016543307700373202,California,Random Forest
covariance_trace,0.001528568192377302,California,Random Forest
cell_entropy,0.001431295594219276,California,Random Forest
joint_entropy_pairwise_mean,0.001306082841669581,California,Random Forest
mean_abs_correlation,0.0012355767980511577,California,Random Forest
mahalanobis,0.0012015560781157182,California,Random Forest
quantile_surprisal_mean,0.0011430070528305747,California,Random Forest
normalized_dist,0.0009717367428422195,California,Random Forest
cosine_dist,0.0009122634543989454,California,Random Forest
log_likelihood,0.0009089933763568714,California,Random Forest
dist_to_mean,0.000869639935357741,California,Random Forest
iqr_norm,0.0008222437140516267,California,Random Forest
knn_distance_k,0.0008012143647436045,California,Random Forest
covariance_condition_number,0.0007246277241497191,California,Random Forest
std_norm,0.0007002499595129774,California,Random Forest
n_beyond_2std,0.0005342825391905737,California,Random Forest
partition_agreement_count,0.00013823657944108053,California,Random Forest
leaf_depth,0.0,California,Random Forest
out_of_range_count,0.11392210575398948,ACS Accidents,Logistic Regression
covariance_condition_number,0.1132744258179955,ACS Accidents,Logistic Regression
marginal_entropy_std,0.0031423290550168133,ACS Accidents,Logistic Regression
partition_agreement_count,0.0025913702669083517,ACS Accidents,Logistic Regression
quantile_surprisal_mean,0.0024593996708786097,ACS Accidents,Logistic Regression
joint_entropy_pairwise_mean,0.0023686282408953733,ACS Accidents,Logistic Regression
marginal_entropy_mean,0.0018435650124544302,ACS Accidents,Logistic Regression
cell_entropy,0.0018435650124544302,ACS Accidents,Logistic Regression
median_abs_deviation_norm,0.0018299056352682722,ACS Accidents,Logistic Regression
mahalanobis,0.0016655107840292858,ACS Accidents,Logistic Regression
covariance_logdet,0.0015787352658085726,ACS Accidents,Logistic Regression
dist_to_median,0.00153664041394477,ACS Accidents,Logistic Regression
log_likelihood,0.001535340862983711,ACS Accidents,Logistic Regression
n_beyond_2std,0.0014688072896986012,ACS Accidents,Logistic Regression
iqr_norm,0.0014669577623779191,ACS Accidents,Logistic Regression
std_norm,0.0014574224642309138,ACS Accidents,Logistic Regression
mean_abs_correlation,0.0013736455230050754,ACS Accidents,Logistic Regression
marginal_kl_to_reference_mean,0.001308677803890681,ACS Accidents,Logistic Regression
pairwise_mutual_info_max,0.001282305889746315,ACS Accidents,Logistic Regression
cosine_dist,0.0011849269787790736,ACS Accidents,Logistic Regression
trimmed_mean_norm,0.0011737187847273602,ACS Accidents,Logistic Regression
mean_norm,0.0011569210355013395,ACS Accidents,Logistic Regression
pairwise_spearman_corr_mean_abs,0.001144060228421736,ACS Accidents,Logistic Regression
density,0.0011162214326457779,ACS Accidents,Logistic Regression
normalized_dist,0.0010778719775016534,ACS Accidents,Logistic Regression
total_correlation,0.0010765649342811402,ACS Accidents,Logistic Regression
dist_to_mean,0.0010730433968244137,ACS Accidents,Logistic Regression
kurtosis_norm,0.0010254255783596939,ACS Accidents,Logistic Regression
covariance_trace,0.001012486544880863,ACS Accidents,Logistic Regression
log_count,0.0009713770729196789,ACS Accidents,Logistic Regression
pairwise_js_divergence_mean,0.000862552575574812,ACS Accidents,Logistic Regression
pairwise_mutual_info_mean,0.0008623565078818349,ACS Accidents,Logistic Regression
skew_norm,0.0008519825476360263,ACS Accidents,Logistic Regression
local_outlier_factor_score,0.0006447471711441033,ACS Accidents,Logistic Regression
knn_distance_k,0.0006156038638703662,ACS Accidents,Logistic Regression
leaf_depth,4.140218875145811e-06,ACS Accidents,Logistic Regression
out_of_range_count,0.012742248392692538,ACS Accidents,Random Forest
total_correlation,0.0001934936585106528,ACS Accidents,Random Forest
trimmed_mean_norm,0.00013784376110739015,ACS Accidents,Random Forest
marginal_kl_to_reference_mean,0.0001308364611474095,ACS Accidents,Random Forest
density,0.00011350202876438477,ACS Accidents,Random Forest
pairwise_mutual_info_max,0.00011262278257763715,ACS Accidents,Random Forest
log_likelihood,9.423127773525599e-05,ACS Accidents,Random Forest
local_outlier_factor_score,6.952105449941028e-05,ACS Accidents,Random Forest
median_abs_deviation_norm,6.716700322451674e-05,ACS Accidents,Random Forest
dist_to_mean,5.629297158585805e-05,ACS Accidents,Random Forest
covariance_logdet,5.5715606365775256e-05,ACS Accidents,Random Forest
marginal_entropy_std,4.4514830358805e-05,ACS Accidents,Random Forest
pairwise_js_divergence_mean,2.614352936426111e-05,ACS Accidents,Random Forest
cell_entropy,2.3304099601799792e-05,ACS Accidents,Random Forest
pairwise_mutual_info_mean,1.6065333855604176e-05,ACS Accidents,Random Forest
joint_entropy_pairwise_mean,4.008922157408925e-06,ACS Accidents,Random Forest
n_beyond_2std,1.3771753401810927e-06,ACS Accidents,Random Forest
dist_to_median,0.0,ACS Accidents,Random Forest
covariance_condition_number,0.0,ACS Accidents,Random Forest
std_norm,0.0,ACS Accidents,Random Forest
skew_norm,0.0,ACS Accidents,Random Forest
quantile_surprisal_mean,0.0,ACS Accidents,Random Forest
partition_agreement_count,0.0,ACS Accidents,Random Forest
pairwise_spearman_corr_mean_abs,0.0,ACS Accidents,Random Forest
covariance_trace,0.0,ACS Accidents,Random Forest
leaf_depth,0.0,ACS Accidents,Random Forest
kurtosis_norm,0.0,ACS Accidents,Random Forest
iqr_norm,0.0,ACS Accidents,Random Forest
mean_norm,0.0,ACS Accidents,Random Forest
mean_abs_correlation,0.0,ACS Accidents,Random Forest
cosine_dist,0.0,ACS Accidents,Random Forest
marginal_entropy_mean,0.0,ACS Accidents,Random Forest
mahalanobis,0.0,ACS Accidents,Random Forest
knn_distance_k,0.0,ACS Accidents,Random Forest
log_count,0.0,ACS Accidents,Random Forest
normalized_dist,0.0,ACS Accidents,Random Forest
