fold,model,roc_auc,pr_auc,accuracy,precision,recall,f1,dataset,representation,seed
5,Logistic Regression,0.8091,0.8638,0.7866,0.9787,0.5859,0.733,MVx6,raw,42
5,Random Forest,0.796,0.8543,0.777,0.9225,0.6048,0.7306,MVx6,raw,42
5,MLP,0.7882,0.8505,0.7157,0.7324,0.6796,0.705,MVx6,raw,42
1,Logistic Regression,0.7862,0.8485,0.637,0.6033,0.7999,0.6878,MVx6,meta,42
1,Random Forest,0.7852,0.8472,0.7247,0.7553,0.6647,0.7071,MVx6,meta,42
1,MLP,0.778,0.8363,0.6573,0.6297,0.7638,0.6903,MVx6,meta,42
2,Logistic Regression,0.7776,0.8442,0.6294,0.598,0.7898,0.6806,MVx6,meta,42
2,Random Forest,0.7835,0.8465,0.7208,0.7486,0.6647,0.7042,MVx6,meta,42
2,MLP,0.7703,0.8312,0.6517,0.6222,0.7724,0.6892,MVx6,meta,42
3,Logistic Regression,0.7875,0.8493,0.6327,0.5972,0.8156,0.6895,MVx6,meta,42
3,Random Forest,0.792,0.8515,0.7206,0.7376,0.6848,0.7103,MVx6,meta,42
3,MLP,0.778,0.8327,0.6458,0.6136,0.7878,0.6899,MVx6,meta,42
4,Logistic Regression,0.7834,0.8484,0.625,0.5918,0.8057,0.6824,MVx6,meta,42
4,Random Forest,0.7853,0.8486,0.7123,0.7271,0.6797,0.7026,MVx6,meta,42
4,MLP,0.77,0.8321,0.6302,0.5992,0.7866,0.6802,MVx6,meta,42
5,Logistic Regression,0.7887,0.8508,0.6325,0.5975,0.8116,0.6883,MVx6,meta,42
5,Random Forest,0.7942,0.8538,0.725,0.7428,0.6882,0.7145,MVx6,meta,42
5,MLP,0.7791,0.8363,0.651,0.6211,0.7743,0.6893,MVx6,meta,42
1,Logistic Regression,0.7862,0.8485,0.6363,0.6029,0.7986,0.6871,MVx6,meta_raw,42
1,Random Forest,0.7858,0.8469,0.7246,0.7606,0.6554,0.7041,MVx6,meta_raw,42
1,MLP,0.7791,0.8382,0.6477,0.6178,0.7746,0.6873,MVx6,meta_raw,42
2,Logistic Regression,0.7776,0.8442,0.6302,0.5984,0.792,0.6817,MVx6,meta_raw,42
2,Random Forest,0.7842,0.8471,0.7234,0.7529,0.6652,0.7063,MVx6,meta_raw,42
2,MLP,0.7692,0.8286,0.647,0.6178,0.7709,0.6859,MVx6,meta_raw,42
3,Logistic Regression,0.7874,0.8493,0.6326,0.5972,0.8148,0.6892,MVx6,meta_raw,42
3,Random Forest,0.7936,0.8523,0.7241,0.7428,0.6856,0.713,MVx6,meta_raw,42
3,MLP,0.772,0.8302,0.639,0.6098,0.7719,0.6813,MVx6,meta_raw,42
4,Logistic Regression,0.7833,0.8483,0.6253,0.5921,0.8055,0.6825,MVx6,meta_raw,42
4,Random Forest,0.7841,0.8479,0.7146,0.7332,0.6748,0.7028,MVx6,meta_raw,42
4,MLP,0.7732,0.8327,0.6275,0.5953,0.7969,0.6815,MVx6,meta_raw,42
5,Logistic Regression,0.7887,0.8508,0.6319,0.5971,0.8108,0.6878,MVx6,meta_raw,42
5,Random Forest,0.7927,0.853,0.7263,0.7495,0.6798,0.713,MVx6,meta_raw,42
5,MLP,0.7823,0.8367,0.6429,0.6106,0.7893,0.6885,MVx6,meta_raw,42
1,Logistic Regression,0.9934,0.9932,0.9484,0.9247,0.9763,0.9498,California,raw,42
1,Random Forest,0.9969,0.9967,0.9729,0.9756,0.97,0.9728,California,raw,42
1,MLP,0.9945,0.9944,0.9547,0.9786,0.9297,0.9535,California,raw,42
2,Logistic Regression,0.993,0.9931,0.9501,0.9269,0.9772,0.9514,California,raw,42
2,Random Forest,0.9965,0.9968,0.9738,0.9716,0.9763,0.9739,California,raw,42
2,MLP,0.9944,0.9943,0.9629,0.9614,0.9646,0.963,California,raw,42
3,Logistic Regression,0.9911,0.9914,0.9377,0.9043,0.9792,0.9402,California,raw,42
3,Random Forest,0.996,0.9959,0.9661,0.9598,0.9729,0.9663,California,raw,42
3,MLP,0.9932,0.9931,0.9552,0.9413,0.9709,0.9559,California,raw,42
4,Logistic Regression,0.9924,0.9921,0.9443,0.9146,0.9801,0.9462,California,raw,42
4,Random Forest,0.9958,0.9951,0.9687,0.9703,0.9671,0.9687,California,raw,42
4,MLP,0.9935,0.9934,0.9552,0.9558,0.9545,0.9552,California,raw,42
5,Logistic Regression,0.9924,0.9888,0.9481,0.9189,0.983,0.9499,California,raw,42
5,Random Forest,0.9965,0.9957,0.9714,0.9638,0.9796,0.9716,California,raw,42
5,MLP,0.9932,0.9919,0.9629,0.9475,0.9801,0.9635,California,raw,42
1,Logistic Regression,0.992,0.9911,0.9566,0.9452,0.9695,0.9572,California,meta,42
1,Random Forest,0.9949,0.9944,0.9644,0.9619,0.9671,0.9645,California,meta,42
1,MLP,0.9919,0.9919,0.9535,0.9522,0.9549,0.9536,California,meta,42
2,Logistic Regression,0.9915,0.9916,0.9523,0.9368,0.97,0.9531,California,meta,42
2,Random Forest,0.994,0.9939,0.96,0.9481,0.9734,0.9606,California,meta,42
2,MLP,0.9921,0.9921,0.9559,0.9472,0.9656,0.9563,California,meta,42
3,Logistic Regression,0.9883,0.9883,0.9406,0.9159,0.9704,0.9424,California,meta,42
3,Random Forest,0.9925,0.9924,0.952,0.9288,0.9792,0.9533,California,meta,42
3,MLP,0.9899,0.9902,0.9421,0.923,0.9646,0.9434,California,meta,42
4,Logistic Regression,0.99,0.9901,0.9455,0.9319,0.9612,0.9463,California,meta,42
4,Random Forest,0.993,0.9923,0.9544,0.9445,0.9656,0.955,California,meta,42
4,MLP,0.9897,0.9887,0.9469,0.9353,0.9603,0.9476,California,meta,42
5,Logistic Regression,0.9883,0.9835,0.9476,0.9234,0.9762,0.9491,California,meta,42
5,Random Forest,0.9937,0.9923,0.9549,0.9347,0.9782,0.9559,California,meta,42
5,MLP,0.99,0.989,0.9506,0.9321,0.9719,0.9516,California,meta,42
1,Logistic Regression,0.9924,0.9915,0.9586,0.9484,0.97,0.959,California,meta_raw,42
1,Random Forest,0.9959,0.9958,0.9654,0.9633,0.9675,0.9654,California,meta_raw,42
1,MLP,0.9931,0.993,0.9559,0.9494,0.9632,0.9562,California,meta_raw,42
2,Logistic Regression,0.9924,0.9923,0.9549,0.9408,0.9709,0.9557,California,meta_raw,42
2,Random Forest,0.9951,0.9952,0.9629,0.9526,0.9743,0.9634,California,meta_raw,42
2,MLP,0.9923,0.992,0.9542,0.9466,0.9627,0.9546,California,meta_raw,42
3,Logistic Regression,0.9883,0.9885,0.9406,0.9155,0.9709,0.9424,California,meta_raw,42
3,Random Forest,0.9941,0.9941,0.954,0.9342,0.9767,0.955,California,meta_raw,42
3,MLP,0.9882,0.9876,0.9387,0.9253,0.9545,0.9397,California,meta_raw,42
4,Logistic Regression,0.9906,0.9906,0.946,0.9336,0.9603,0.9467,California,meta_raw,42
4,Random Forest,0.9937,0.9933,0.9566,0.949,0.9651,0.957,California,meta_raw,42
4,MLP,0.9901,0.9891,0.9469,0.9337,0.9622,0.9477,California,meta_raw,42
5,Logistic Regression,0.9888,0.9847,0.9501,0.9253,0.9792,0.9515,California,meta_raw,42
5,Random Forest,0.995,0.9944,0.9588,0.9421,0.9777,0.9596,California,meta_raw,42
5,MLP,0.991,0.9901,0.9501,0.9378,0.9641,0.9508,California,meta_raw,42
1,Logistic Regression,0.4815,0.1469,0.5011,0.1376,0.4475,0.2105,ACS Accidents,raw,42
1,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,raw,42
1,MLP,0.9987,0.997,0.9989,0.9962,0.9962,0.9962,ACS Accidents,raw,42
2,Logistic Regression,0.4508,0.1334,0.4743,0.1296,0.4437,0.2006,ACS Accidents,raw,42
2,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,raw,42
2,MLP,0.9952,0.9954,0.9977,0.9937,0.9912,0.9924,ACS Accidents,raw,42
3,Logistic Regression,0.5104,0.1508,0.5524,0.1593,0.4703,0.238,ACS Accidents,raw,42
3,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,raw,42
3,MLP,0.9991,0.9977,0.9994,0.9987,0.9975,0.9981,ACS Accidents,raw,42
4,Logistic Regression,0.707,0.2854,0.6709,0.2568,0.641,0.3667,ACS Accidents,raw,42
4,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,raw,42
4,MLP,0.9962,0.9967,0.9983,0.9975,0.9912,0.9943,ACS Accidents,raw,42
5,Logistic Regression,0.4636,0.1356,0.4824,0.1388,0.4766,0.2149,ACS Accidents,raw,42
5,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,raw,42
5,MLP,1.0,0.9998,0.9989,0.9962,0.9962,0.9962,ACS Accidents,raw,42
1,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta,42
1,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta,42
1,MLP,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta,42
2,Logistic Regression,1.0,1.0,0.9998,0.9987,1.0,0.9994,ACS Accidents,meta,42
2,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta,42
2,MLP,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta,42
3,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta,42
3,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta,42
3,MLP,0.9987,0.9989,0.9998,1.0,0.9987,0.9994,ACS Accidents,meta,42
4,Logistic Regression,1.0,1.0,0.9998,0.9987,1.0,0.9994,ACS Accidents,meta,42
4,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta,42
4,MLP,0.9962,0.9968,0.9994,1.0,0.9962,0.9981,ACS Accidents,meta,42
5,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta,42
5,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta,42
5,MLP,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta,42
1,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta_raw,42
1,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta_raw,42
1,MLP,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta_raw,42
2,Logistic Regression,1.0,1.0,0.9998,0.9987,1.0,0.9994,ACS Accidents,meta_raw,42
2,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta_raw,42
2,MLP,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta_raw,42
3,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta_raw,42
3,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta_raw,42
3,MLP,0.9987,0.9989,0.9998,1.0,0.9987,0.9994,ACS Accidents,meta_raw,42
4,Logistic Regression,1.0,1.0,0.9998,0.9987,1.0,0.9994,ACS Accidents,meta_raw,42
4,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta_raw,42
4,MLP,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta_raw,42
5,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta_raw,42
5,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta_raw,42
5,MLP,1.0,1.0,1.0,1.0,1.0,1.0,ACS Accidents,meta_raw,42
